ababa	a<r>bab<vr>a<va>
intombi	i<iv>n<n9>tomb<vr>i<hum>
intoni	i<iv>n<n9>toni<nr>
intsha	i<i9>n<n9>tsha<ar>
intuthu	i<iv>n<n9>tuthu<nr>
inunu	i<iv_n5>nunu<nr>
inxiwa	i<iv_n5>nxiwa<nr>
inyakaza	i<i9>nyakaz<vr>a<va>
inyaluka	i<i4>nyaluk<vr>a<va>, i<i9>nyaluk<vr>a<va>, i<p4>nyaluk<vr>a<va>, i<p9>nyaluk<vr>a<va>
inyama	i<iv_n9>nyama<nr>
inyamalala	i<i4>nyamalal<vr>a<va>
inyanda	i<iv_n9>nyanda<nr>
inyanga	i<iv_n9>nyanga<nr>
inzalo	i<iv>n<n9>zal<vr>o<in>
inzondo	i<iv>n<n9>zond<vr>o<in>
ipeni	i<iv_n5>peni<nr>
iphakwe	i<i9>phak<vr>w<xp>e<vps>
iphambukile	i<i4>phambuk<vr>ile<vpl>, i<i9>phambuk<vr>ile<vpl>, i<p4>phambuk<vr>ile<vpl>, i<p9>phambuk<vr>ile<vpl>
iphawuleka	i<i4>phawul<vr>ek<xn>a<va>, i<p4>phawul<vr>ek<xn>a<va>, i<p9>phawul<vr>ek<xn>a<va>
iphele	i<i4>phel<vr>e<vps>, i<i9>phel<vr>e<vps>
iphendulwe	i<i4>phendul<vr>w<xp>e<vps>, i<p4>phendul<vr>w<xp>e<vps>, i<p9>phendul<vr>w<xp>e<vps>, i<s4>phendul<vr>w<xp>e<vs>, i<s9>phendul<vr>w<xp>e<vs>
iphethe	i<i4>pheth<vr>e<vps>, i<i9>pheth<vr>e<vps>, i<p4>pheth<vr>e<vps>, i<p9>pheth<vr>e<vps>
iphi	i<i9>phi<adv>
iphindela	i<i9>phind<vr>el<xa>a<va>
iphindele	i<i4>phind<vr>el<xa>e<vps>
iphindiselwe	i<i9>phind<vr>is<xc>el<xa>w<xp>e<vps>
iphindiwe	i<i9>phind<vr>iw<xp>e<vps>
iphinifo	i<iv_n5>phinifo<nr>
ipholela	i<i9>phol<vr>el<xa>a<va>
iphoyisa	i<iv_n5>phoyisa<nr>
iphuma	i<p4>phum<vr>a<va>
iphume	i<i9>phum<vr>e<vs>
iphumule	i<i4>phumul<vr>e<vps>, i<i9>phumul<vr>e<vps>, i<p4>phumul<vr>e<vps>, i<p9>phumul<vr>e<vps>, i<s4>phumul<vr>e<vs>, i<s9>phumul<vr>e<vs>
iphupho	i<iv_n5>phuph<vr>o<in>
iphutha	i<iv_n9>phutha<nr>
iphuza	i<i4>phuz<vr>a<va>, i<i9>phuz<vr>a<va>, i<p4>phuz<vr>a<va>, i<p9>phuz<vr>a<va>
iphuzu	i<iv_n5>phuzu<nr>
iqale	i<i4>qal<vr>e<vps>, i<i9>qal<vr>e<vps>
iqamba	i<i4>qamb<vr>a<va>, i<i9>qamb<vr>a<va>
iqedeke	i<i9>qed<vr>ek<xn>e<vps>
iqedelwe	i<i4>qed<vr>el<xa>w<xp>e<vps>, i<i9>qed<vr>el<xa>w<xp>e<vps>
iqedile	i<i9>qed<vr>ile<vpl>
iqembu	i<iv_n5>qembu<nr>
iqhamuka	i<p4>qhamuk<vr>a<va>
iqhikiza	i<i4>qhikiz<vr>a<va>, i<i9>qhikiz<vr>a<va>, i<p4>qhikiz<vr>a<va>, i<p9>qhikiz<vr>a<va>
iqhinga	i<iv_n5>qhinga<nr>
iqhiyame	i<i9>qhiyam<vr>e<vps>, i<s9>qhiyam<vr>e<vs>
iqhubeke	i<i4>qhub<vr>ek<xn>e<vps>
iqhubekile	i<i4>qhub<vr>ek<xn>ile<vpl>, i<i9>qhub<vr>ek<xn>ile<vpl>, i<p4>qhub<vr>ek<xn>ile<vpl>, i<p9>qhub<vr>ek<xn>ile<vpl>
iqhude	i<iv_n5>qhude<nr>
iqinisile	i<i4>qinis<vr>ile<vpl>
iqiniso	i<iv_n5>qinis<vr>o<in>
irandi	i<iv_n9>randi<nr>
isaba	i<i9>sa<asp>b<vr>a<va>
isabhaleka	i<i4>sa<asp>bhal<vr>ek<xn>a<va>, i<i9>sa<asp>bhal<vr>ek<xn>a<va>, i<p4>sa<asp>bhal<vr>ek<xn>a<va>, i<p9>sa<asp>bhal<vr>ek<xn>a<va>
isadukelwe	i<i4>sa<asp>dukel<vr>w<xp>e<vps>, i<i9>sa<asp>dukel<vr>w<xp>e<vps>
isahluko	i<iv>s<n7>ahluk<vr>o<in>
isalukazana	i<iv>s<n7>alukaz<nr>ana<dim>
isalukazi	i<iv>s<n7>alu<nr>kazi<fem>
isango	i<iv_n5>sango<nr>
isangoma	i<iv>s<n7>angoma<nr>
isaphumile	i<i4>sa<asp>phum<vr>ile<vpl>, i<i9>sa<asp>phum<vr>ile<vpl>
isasidunge	i<i4>sa<asp>si<o1p>dung<vr>e<vps>, i<i9>sa<asp>si<o1p>dung<vr>e<vps>
isebenza	i<i4>sebenz<p1_vr>a<va>, i<i9>sebenz<p1_vr>a<va>, i<p4>sebenz<p1_vr>a<va>, i<p9>sebenz<p1_vr>a<va>
isebenzisa	i<i4>sebenz<vr>is<xc>a<va>
isebucayini	i<i9>se<locpf>bucay<nr>ini<locsf>
isehlukanise	i<i9>s<asp>ehluk<vr>an<xr>is<xc>e<vps>
iseka	i<i4>sek<vr>a<va>, i<p4>sek<vr>a<va>
isemsebenzini	i<i9>se<locpf>m<n3>sebenz<vr>ini<locsf>
isencane	i<i9>se<asp>ncane<ar>
isende	i<iv_n5>sende<nr>
isendlini	i<i9>se<locpf>n<n9>dl<nr>ini<locsf>
isenzo	i<iv>s<n7>enz<vr>o<in>
isesidlekeni	i<i9>se<locpf>si<n7>dlek<nr>eni<locsf>
isezinyaweni	i<i9>se<locpf>zi<n10>nyaw<nr>eni<locsf>
ishadwe	i<i9>shad<vr>w<xp>e<vps>
ishaya	i<i9>shay<vr>a<va>
ishaye	i<i9>shay<vr>e<vps>, i<s9>shay<vr>e<vs>
ishayile	i<i4>shay<vr>ile<vpl>
ishe	i<i4>sh<vr>e<vps>, i<i9>sh<vr>e<vps>
isheshe	i<s9>shesh<vr>e<vs>
isheshise	i<i4>shesh<vr>is<xc>e<vps>, i<i9>shesh<vr>is<xc>e<vps>, i<p4>shesh<vr>is<xc>e<vps>, i<p9>shesh<vr>is<xc>e<vps>
ishibhi	i<iv_n5>shibhi<nr>
ishiseke	i<i4>shis<vr>ek<xn>e<vps>
ishiwo	i<i9>sh<vr>iw<xp>o<va>
isho	i<i9>sho<vr>
ishunqa	i<i4>shunq<vr>a<va>
ishwa	i<iv_n9>shwa<nr>
isibaya	i<iv>si<n7>baya<nr>
isibhala	i<i9>s<asp>i<p9>bhal<vr>a<va>
isibhedlela	i<iv>si<n7>bhedlela<nr>
isibhuklabhukla	i<iv>si<n7>bhukla<red>bhukla<nr>
isibhunywana	i<iv>si<n7>bhunyw<nr>ana<dim>
isibindi	i<iv>si<n7>bindi<nr>
isibongo	i<iv>si<n7>bong<vr>o<in>
isibuya	i<i9>s<asp>i<p9>buy<vr>a<va>
isicabha	i<iv>si<n7>cabha<nr>
isichazamazwi	i<iv>si<n7>chaz<vr>a<va>ma<n6>zw<vr>i<der>
isidingo	i<iv>si<n7>ding<vr>o<in>
isidleke	i<iv>si<n7>dleke<nr>
isidumbu	i<iv>si<n7>dumbu<nr>
isidumo	i<iv>si<n7>dumo<nr>
isifo	i<iv>si<n7>f<vr>o<in>
isifuba	i<iv>si<n7>fuba<nr>
isifuna	i<i9>s<asp>i<p9>fun<vr>a<va>
isifundo	i<iv>si<n7>fund<vr>o<in>
isigaba	i<iv>si<n7>gaba<nr>
isigcino	i<iv>si<n7>gcin<vr>o<in>
isigqabo	i<iv>si<n7>gqab<vr>o<in>
isigqila	i<iv>si<n7>gqila<nr>
isigqoko	i<iv>si<n7>gqok<vr>o<in>
isigubhukazi	i<iv>si<n7>gubhu<nr>kazi<fem>
isiguga	i<i4>si<o7>gug<vr>a<va>
isiguqo	i<iv>si<n7>guq<vr>o<in>
isihambile	i<i9>s<asp>i<p9>hamb<vr>ile<vpl>
isihlahla	i<iv>si<n7>hlahla<nr>
isihlambi	i<iv>si<n7>hlamb<vr>i<hum>
isihlobo	i<iv>si<n7>hlobo<nr>
isihloma	i<i9>si<o7>hlom<vr>a<va>, i<p4>si<o1p>hlom<vr>a<va>, i<p4>si<o7>hlom<vr>a<va>, i<p9>si<o1p>hlom<vr>a<va>, i<p9>si<o7>hlom<vr>a<va>
isihlwitha	i<i9>s<asp>i<p9>hlwith<vr>a<va>
isijuluke	i<i9>s<asp>i<p9>juluk<vr>e<vps>
isikhala	i<iv>si<n7>khala<nr>
isikhathi	i<iv>si<n7>khathi<nr>
isikhulu	i<iv>si<n7>khulu<ar>
isikhulumi	i<iv>si<n7>khulumi<nr>
isikhumba	i<iv>si<n7>khumba<nr>
isikhwama	i<iv>si<n7>khwama<nr>
isikhwehlela	i<iv>si<n7>khwehlel<vr>a<der>
isiko	i<iv_n5>sik<vr>o<in>
isilapha	isilapha<nr>
isilatini	i<iv>si<n7>latini<nr>
isilevu	i<iv>si<n7>levu<nr>
isilibonile	i<i9>s<asp>i<p9>li<o5>bon<vr>ile<vpl>
isililo	i<iv>si<n7>lil<vr>o<in>
isilima	i<iv>si<n7>lima<nr>
isilokhu	i<i9>s<asp>i<p9>lokhu<mr>
isiludwamba	i<i9>s<asp>i<p9>lu<n11>dwamba<nr>
isimame	i<iv>si<n7>mame<nr>
isimane	i<i9>s<asp>i<p9>mane<mr>
isimdunge	i<i9>s<asp>i<p9>m<o1>dung<vr>e<vps>
isimilamongo	i<iv>si<n7>mila<nr>mongo<nr>
isimilo	i<iv>si<n7>mil<vr>o<in>
isimo	i<iv>si<n7>m<vr>o<in>
isimongo	i<iv>si<n7>mongo<nr>
isingamjikijela	i<i9>s<asp>i<p9>nga<asp>m<o1>jikij<vr>el<xa>a<va>
isingekho	i<i9>s<asp>i<p9>nge<neg>kho<adv>
isingili	i<iv>si<n7>ngili<nr>
isingisi	i<iv>si<n7>ngisi<nr>
isingixhela	i<i9>s<asp>i<p9>ngi<o1s>xhel<vr>a<va>
isinkwa	i<iv>si<n7>nkwa<nr>
isiphelile	i<i9>s<asp>i<p9>phel<vr>ile<vpl>
isipho	i<iv>si<n7>ph<vr>o<in>
isiphuku	i<iv>si<n7>phuku<nr>
isiphuzo	i<iv>si<n7>phuz<vr>o<in>
isiqhwaga	i<iv>si<n7>qhwaga<nr>
isisasambana	i<iv>si<n7>sasambana<nr>
isishayelelo	i<iv>si<n7>shayelel<vr>o<in>
isishwaphuluza	i<iv>si<n7>shwaphuluz<vr>a<va>
isisu	i<iv>si<n7>su<nr>
isisusa	i<iv>si<n7>susa<nr>
isisuthu	i<iv>si<n7>suthu<nr>
isitembu	i<iv>si<n7>tembu<nr>
isitha	i<iv>si<n7>tha<nr>
isithandwa	i<i4>si<o7>thand<vr>w<xp>a<va>
isithembu	i<iv>si<n7>thembu<nr>
isithukuthele	i<i4>si<o1p>thukuthel<vr>e<vps>
isithunzi	i<iv>si<n7>thunzi<nr>
isithupha	i<iv>si<n7>thupha<nr>
isitimela	i<iv>si<n7>timela<nr>
isivini	i<iv>si<n7>vini<nr>
isivinini	i<iv>si<n7>vinini<nr>
isivuvu	i<iv>si<n7>vuvu<nr>
isixuku	i<iv>si<n7>xuku<nr>
isiya	i<i9>s<asp>i<p9>y<vr>a<va>
isiyaze	i<i9>s<asp>i<p9>y<o9>az<vr>e<vps>
isiyaziwa	i<i9>s<asp>i<p9>y<asp>az<p1_vr>iw<xp>a<va>
isiye	i<i9>s<asp>i<p9>y<vr>e<vps>
isizengu	i<iv>si<n7>zengu<nr>
isiziwe	i<i4>siz<vr>iw<xp>e<vps>, i<i9>siz<vr>iw<xp>e<vps>, i<p4>siz<vr>iw<xp>e<vps>
isizulu	i<iv>si<n7>zulu<nr>
isizungu	i<iv>si<n7>zungu<nr>
isizwe	i<iv>si<n7>zwe<nr>
iso	i<iv_n5>so<nr>
isoka	i<iv_n5>soka<nr>
isondela	i<i4>sondel<vr>a<va>, i<i9>sondel<vr>a<va>
isondele	i<i4>sondel<vr>e<vps>, i<i9>sondel<vr>e<vps>
isonto	i<iv_n5>sonto<nr>
israyeli	israyeli<nr>
isu	i<iv_n5>su<nr>
isuka	i<i4>suk<vr>a<va>, i<i9>suk<vr>a<va>, i<p4>suk<vr>a<va>, i<p9>suk<vr>a<va>
isuziwa	i<i9>suz<vr>iw<xp>a<va>
itende	i<iv_n5>tende<nr>
ithafa	i<iv_n5>thafa<nr>
ithambo	i<iv_n5>thambo<nr>
ithamo	i<iv_n5>tham<vr>o<in>
ithanda	i<i4>thand<vr>a<va>, i<i9>thand<vr>a<va>, i<p4>thand<vr>a<va>, i<p9>thand<vr>a<va>
ithe	i<i4>th<vr>e<vps>, i<i9>th<vr>e<vps>
ithemba	i<i4>themb<vr>a<va>, i<i9>themb<vr>a<va>, i<iv_n5>themb<vr>a<der>
ithi	i<i9>thi<vr>
ithikithi	i<iv_n5>thikithi<nr>
ithini	i<i9>thi<vr>ni<int>
ithokozile	i<i4>thokoz<vr>ile<vpl>
itholana	i<i4>thol<vr>an<xr>a<va>
ithoshi	i<iv_n5>thoshi<nr>
ithuba	i<iv_n5>thuba<nr>
ithule	i<i4>thul<vr>e<vps>, i<i9>thul<vr>e<vps>, i<p4>thul<vr>e<vps>, i<p9>thul<vr>e<vps>, i<s4>thul<vr>e<vs>, i<s9>thul<vr>e<vs>
ithululwa	i<i4>thulul<vr>w<xp>a<va>, i<i9>thulul<vr>w<xp>a<va>
ithuna	i<i4>thun<vr>a<va>, i<i9>thun<vr>a<va>, i<iv_n5>thun<vr>a<der>, i<p4>thun<vr>a<va>, i<p9>thun<vr>a<va>
ithungathana	i<i4>thungath<vr>an<xr>a<va>
itiye	i<iv_n5>tiye<nr>
itoho	i<iv_n5>toho<nr>
itshe	i<iv_n5>tshe<nr>
ivale	i<i9>val<vr>e<vps>
ivela	i<i4>vel<vr>a<va>, i<i9>vel<vr>a<va>, i<p4>vel<vr>a<va>, i<p9>vel<vr>a<va>
ivele	i<i4>vel<vr>e<vps>, i<i9>vel<vr>e<vps>
ivimbekile	i<i4>vimb<vr>ek<xn>ile<vpl>, i<p4>vimb<vr>ek<xn>ile<vpl>
ivuna	i<i4>vun<vr>a<va>, i<i9>vun<vr>a<va>, i<p4>vun<vr>a<va>, i<p9>vun<vr>a<va>
iwami	i<iv_n5>wa<z1>mi<pr1s>
iwanelisa	i<iv_n5>w<z1>anel<vr>is<xc>a<va>
iwaphihlizeka	i<i4>wa<o6>phihliz<vr>ek<xn>a<va>
iwaphonse	i<i4>wa<o6>phons<vr>e<vps>, i<i9>wa<o6>phons<vr>e<vps>
iwasekhaya	i<iv_n5>wa<z1>se<locpf>khaya<nr>
iwashi	i<iv_n5>washi<nr>
iwaso	i<iv_n5>wa<z1>so<pr7>
iwe	i<i4>w<vr>e<vps>
iwempela	i<iv_n5>w<z1>e<iv>mpela<adv>
iwesabatha	i<iv_n5>w<z1>e<iv_n5>sabatha<nr>
iweshumi	i<iv_n5>w<z1>e<iv_n5>shumi<nr>
iwesishiyagalombili	i<iv_n5>w<z1>e<iv>si<n7>shiy<vr>a<va>galo<nr>m<n10>bili<ar>
iwethusa	i<i9>w<o6>ethus<vr>a<va>
iwezifundo	i<iv_n5>w<z1>e<iv>zi<n10>fund<nr>o<in>
ixhegu	i<iv_n5>xhegu<nr>
ixinekile	i<i4>xin<vr>ek<xn>ile<vpl>, i<i9>xin<vr>ek<xn>ile<vpl>, i<p4>xin<vr>ek<xn>ile<vpl>, i<p9>xin<vr>ek<xn>ile<vpl>
ixoxwa	i<i4>xox<vr>w<xp>a<va>, i<i9>xox<vr>w<xp>a<va>
iya	i<i9>y<vr>a<va>
iyabheda	i<i9>ya<asp>bhed<vr>a<va>
iyabhuquza	i<i4>ya<asp>bhuquz<vr>a<va>
iyabiza	i<i4>ya<asp>biz<vr>a<va>, i<i9>ya<asp>biz<vr>a<va>
iyabona	i<i9>ya<asp>bon<vr>a<va>
iyabonakala	i<i4>ya<asp>bon<vr>akal<xn>a<va>, i<i9>ya<asp>bon<vr>akal<xn>a<va>
iyadliwa	i<i4>ya<asp>dl<vr>iw<xp>a<va>, i<i4>ya<asp>dli<vr>w<xp>a<va>, i<i9>ya<asp>dl<vr>iw<xp>a<va>
iyakhonkotha	i<i4>ya<asp>khonkoth<vr>a<va>, i<i9>ya<asp>khonkoth<vr>a<va>
iyakhuthaza	i<i4>ya<asp>khuthaz<vr>a<va>, i<i9>ya<asp>khuthaz<vr>a<va>, i<p4>ya<asp>khuthaz<vr>a<va>, i<p9>ya<asp>khuthaz<vr>a<va>
iyakumisa	i<i4>ya<asp>ku<o15>m<vr>is<xc>a<va>, i<i4>ya<asp>ku<o2s>m<vr>is<xc>a<va>, i<i9>ya<asp>ku<o15>m<vr>is<xc>a<va>, i<i9>ya<asp>ku<o2s>m<vr>is<xc>a<va>
iyamila	i<i4>ya<asp>mil<vr>a<va>
iyammela	i<i4>ya<asp>m<o1>m<vr>el<xa>a<va>
iyamsiza	i<i9>ya<asp>m<o1>siz<vr>a<va>, i<p4>ya<asp>m<o1>siz<vr>a<va>, i<p9>ya<asp>m<o1>siz<vr>a<va>
iyamthanda	i<i9>ya<asp>m<o1>thand<vr>a<va>, i<p4>ya<asp>m<o1>thand<vr>a<va>
iyamunyungwa	i<i4>ya<asp>munyung<vr>w<xp>a<va>, i<i9>ya<asp>munyung<vr>w<xp>a<va>
iyangixaka	i<i4>ya<asp>ngi<o1s>xak<vr>a<va>, i<i9>ya<asp>ngi<o1s>xak<vr>a<va>, i<p4>ya<asp>ngi<o1s>xak<vr>a<va>, i<p9>ya<asp>ngi<o1s>xak<vr>a<va>
iyasetshenzelwa	i<i9>ya<asp>setshenz<vr>el<xa>w<xp>a<va>
iyasheshisa	i<i4>ya<asp>shesh<vr>is<xc>a<va>, i<i9>ya<asp>shesh<vr>is<xc>a<va>, i<p4>ya<asp>shesh<vr>is<xc>a<va>, i<p9>ya<asp>shesh<vr>is<xc>a<va>
iyaxaka	i<i4>ya<asp>xak<vr>a<va>, i<i9>ya<asp>xak<vr>a<va>
iyayidinga	i<i4>ya<asp>yi<o4>ding<vr>a<va>
iyazikhulumela	i<i9>ya<asp>zi<refl>khulum<vr>el<xa>a<va>
iye	i<i4>y<vr>e<vps>, i<i9>y<vr>e<vps>, i<p4>y<vr>e<vps>, i<p9>y<vr>e<vps>
iyelapha	i<i4>y<vr>e<vps>lapha<adv>
iyesaba	i<i4>y<asp>esab<vr>a<va>, i<i9>yesab<p1_vr>a<va>
iyibukele	i<i9>yi<o4>buk<vr>el<xa>e<vps>
iyingelosi	i<i9>y<p>i<iv>n<n9>gelosi<nr>
iyini	i<i9>yi<n9>ni<ar>
iyinkosi	i<i4>y<p>i<iv>n<n9>kosi<nr>
iyiqiniso	i<i9>y<p>i<iv_n5>qinis<vr>o<in>
iyishiyile	i<i4>yi<o9>shiy<vr>ile<vpl>, i<i9>yi<o9>shiy<vr>ile<vpl>, i<p4>yi<o4>shiy<vr>ile<vpl>, i<p4>yi<o9>shiy<vr>ile<vpl>, i<p9>yi<o4>shiy<vr>ile<vpl>
iyisisekelo	i<i4>y<p>i<iv>si<n7>sekel<vr>o<in>
iyivela	i<i4>yi<o4>vel<vr>a<va>, i<p4>yi<o9>vel<vr>a<va>, i<p9>yi<o4>vel<vr>a<va>, i<p9>yi<o9>vel<vr>a<va>
iyivukele	i<i4>yi<o4>vuk<vr>el<xa>e<vps>, i<i4>yi<o9>vuk<vr>el<xa>e<vps>
iyobasiza	i<i4>yo<fut>ba<o2>siz<vr>a<va>
iyodwa	i<i9>yo<pr9>dwa<qr>
iyofela	i<i4>yo<fut>fel<vr>a<va>
iyoganela	i<i4>yo<fut>gan<vr>el<xa>a<va>
iyokwethulwa	i<i9>yo<fut>kw<n15>ethul<vr>w<xp>a<va>
iyolanda	i<i4>yo<fut>land<vr>a<va>, i<i9>yo<fut>land<vr>a<va>
iyona	i<i9>yo<pr9>na<st>
iyoqeda	i<i4>yo<fut>qed<vr>a<va>, i<i9>yo<fut>qed<vr>a<va>, i<p4>yo<fut>qed<vr>a<va>, i<p9>yo<fut>qed<vr>a<va>
iyoqoma	i<i4>yo<fut>qom<vr>a<va>, i<i9>yo<fut>qom<vr>a<va>
iyoshintsha	i<i4>yo<fut>shintsh<vr>a<va>, i<i9>yo<fut>shintsh<vr>a<va>
iza	i<i4>z<vr>a<va>
izaba	i<i9>z<o10>ab<vr>a<va>
izambane	i<iv>z<n10>ambane<nr>
izambatho	i<iv>z<n10>ambath<vr>o<in>
izandla	i<iv>z<n10>andla<nr>
ize	i<i4>z<vr>e<vps>, i<i4>ze<mr>, i<i9>z<vr>e<vps>, i<p4>z<vr>e<vps>
izelelesi	i<iv>z<n10>eleles<vr>i<hum>
izenzela	i<i9>z<refl>enz<vr>el<xa>a<va>
izenzo	i<iv>z<n10>enz<vr>o<in>
izibambe	i<i4>zi<o10>bamb<vr>e<vps>
izibhobo	i<iv>zi<n10>bhob<vr>o<in>
izibondlo	i<iv>zi<n10>bondlo<nr>
izibonelo	i<iv>zi<n10>bon<vr>el<xa>o<in>
iziboniso	i<iv>zi<n10>bon<vr>is<xc>o<in>
iziboshwa	i<iv>zi<n10>bosh<vr>w<xp>a<der>, i<iv>zi<n10>bosh<vr>w<xp>a<va>
izibuko	i<iv>zi<n10>buk<vr>o<in>
izicathulo	i<iv>zi<n10>cathul<vr>o<in>
izichwe	i<iv>zi<n10>chwe<nr>
izidlokolo	i<iv>zi<n10>dlokolo<nr>
izifele	i<i9>zi<o10>f<vr>el<xa>e<vps>
izifundo	i<iv>zi<n10>fund<vr>o<in>
izigilamkhuba	i<iv>zi<n10>gila<vr>mkhuba<nr>
izigqoko	i<iv>zi<n10>gqok<vr>o<in>
izihlahla	i<iv>zi<n10>hlahla<nr>
izihlalela	i<i9>zi<refl>hlal<vr>el<xa>a<va>
izihlathi	i<iv>zi<n10>hlathi<nr>
izikelemu	i<iv>zi<n10>kelemu<nr>
izikhafu	i<iv>zi<n10>khafu<nr>
izikhali	i<iv>zi<n10>khali<nr>
izikhathi	i<iv>zi<n10>khathi<nr>
izikhonkwane	i<iv>zi<n10>khonkw<nr>ane<dim>
izikhumba	i<iv>zi<n10>khumba<nr>
izikhwama	i<iv>zi<n10>khwama<nr>
izikole	i<iv>zi<n10>kole<nr>
izilima	i<iv>zi<n10>lima<nr>
izilimi	i<iv>zi<n10>limi<nr>
izilwane	i<iv>zi<n10>lwane<nr>
izimakethe	i<iv>zi<n10>makethe<nr>
izimali	i<iv>zi<n10>mali<nr>
izimbangi	i<iv>zim<n10>bangi<nr>
izimbenge	i<iv>zim<n10>benge<nr>
izimbuzi	i<iv>zim<n10>buzi<nr>
izimfamona	i<iv>zim<n10>famona<nr>
izimfanelo	i<iv>zim<n10>fan<vr>el<xa>o<in>
izimfologo	i<iv>zim<n10>fologo<nr>
izimfunda	i<iv>zim<n10>funda<nr>
izimoto	i<iv>zi<n10>moto<nr>
izimpahla	i<iv>zim<n10>pahla<nr>
izimpelasonto	i<iv>zim<n10>pel<vr>a<va>sonto<nr>
izimpendulo	i<iv>zim<n10>pendul<vr>o<in>
izimu	i<iv_n5>zimu<nr>
izimvume	i<iv>zim<n10>vume<nr>
izincwad	i<iv>zin<n10>cwad<nr>
izincwadi	i<iv>zin<n10>cwadi<nr>
izindaba	i<iv>zin<n10>daba<nr>
izindawo	i<iv>zin<n10>dawo<nr>
izindlebe	i<iv>zin<n10>dlebe<nr>
izindleko	i<iv>zin<n10>dl<vr>ek<xn>o<in>
izindlela	i<iv>zin<n10>dlela<nr>
izindonga	i<iv>zin<n10>donga<nr>
izinduku	i<iv>zin<n10>duku<nr>
izinduna	i<iv>zin<n10>duna<nr>
izindwani	i<iv>zin<n10>dwani<nr>
izinga	i<iv>zin<n10>ga<nr>
izingane	i<iv>zin<n10>gane<nr>
izingqomondo	i<iv>zin<n10>gqomondo<nr>
izingubo	i<iv>zin<n10>gubo<nr>
izingwe	i<iv>zin<n10>gwe<nr>
izinhlamvu	i<iv>zin<n10>hlamvu<nr>
izinhliziyo	i<iv>zin<n10>hliziyo<nr>
izinhlobonhlobo	i<iv>zin<n10>hlobonhlobo<nr>
izinhlupheko	i<iv>zin<n10>hluph<vr>ek<xn>o<in>
izinja	i<iv>zin<n10>ja<nr>
izinkinobho	i<iv>zin<n10>kinobho<nr>
izinkomo	i<iv>zin<n10>komo<nr>
izinkophe	i<iv>zin<n10>kophe<nr>
izinkuni	i<iv>zin<n10>kuni<nr>
izinqola	i<iv>zin<n10>qola<nr>
izinqulu	i<iv>zin<n10>qulu<nr>
izinsiza	i<iv>zin<n10>siza<nr>
izinsizwa	i<iv>zin<n10>sizwa<nr>
izinsuku	i<iv>zin<n10>suku<nr>
izinsukwana	i<iv>zin<n10>sukw<nr>ana<dim>
izintambo	i<iv>zin<n10>tambo<nr>
izintelezi	i<iv>zin<n10>telezi<nr>
izinto	i<iv>zin<n10>to<nr>
izintombi	i<iv>zin<n10>tombi<nr>
izintuli	i<iv>zin<n10>tuli<nr>
izinwele	i<iv>zi<n10>nwele<nr>
izinyama	i<iv>zi<n10>nyama<nr>
izinyanga	i<iv>zi<n10>nyanga<nr>
izinyathi	i<iv>zi<n10>nyathi<nr>
izinyawo	i<iv>zi<n10>nyawo<nr>
izinyawowafika	i<iv>zi<n10>nyawo<nr>w<i1>a<asp>fik<vr>a<va>
izinyombezi	i<iv>zi<n10>nyombezi<nr>
izinyosi	i<iv>zi<n10>nyosi<nr>
izinzipho	i<iv>zin<n10>zipho<nr>
iziphicaphicwano	i<iv>zi<n10>phica<red>phic<vr>w<xp>an<xr>o<in>
iziphukuphuku	i<iv>zi<n10>phuku<red>phuku<nr>
izisebenzi	i<iv>zi<n10>sebenz<vr>i<hum>
izisele	i<iv>zi<n10>sele<nr>
izitembu	i<iv>zi<n10>tembu<nr>
iziteshana	i<iv>zi<n10>tesh<nr>ana<dim>
izitha	i<iv>zi<n10>tha<nr>
izithelo	i<iv>zi<n10>thel<vr>o<in>
izithithibala	i<iv>zi<n10>thithibala<nr>
izithombe	i<iv>zi<n10>thombe<nr>
izithonto	i<iv>zi<n10>thont<vr>o<in>
izithukuthuku	i<iv>zi<n10>thukuthuku<nr>
izithunzana	i<iv>zi<n10>thunz<nr>ana<dim>
izithunzi	i<iv>zi<n10>thunzi<nr>
izithupha	i<iv>zi<n10>thupha<nr>
izitsha	i<iv>zi<n10>tsha<nr>
izitshudeni	i<iv>zi<n10>tshuden<vr>i<hum>
iziwe	i<i9>z<vr>iw<xp>e<vps>
iziyalo	i<iv>zi<n10>yal<vr>o<in>
izizathu	i<iv>zi<n10>zathu<nr>
izohlatshwa	i<i4>zo<fut>hlatsh<vr>w<xp>a<va>
izokhuluma	i<i4>zo<fut>khulum<vr>a<va>
izokofa	i<i4>zo<fut>kof<vr>a<va>, i<i9>zo<fut>kof<vr>a<va>
izokuba	i<i4>zo<fut>ku<n15>b<vr>a<va>
izokulimaza	i<i4>zo<fut>ku<o15>limaz<vr>a<va>
izokuthi	i<i9>zo<fut>ku<n15>thi<vr>
izokwenekelwa	i<i9>zo<fut>kw<n15>enek<vr>el<xa>w<xp>a<va>
izokwenzenjani	i<i9>zo<fut>kw<n15>enz<vr>e<vs>njani<adv>
izolo	i<iv_n5>zolo<nr>
izombulala	i<i4>zo<fut>m<o1>bulal<vr>a<va>
izomehlula	i<i9>zo<fut>m<o1>ehlul<vr>a<va>
izomhlasela	i<i4>zo<fut>m<o1>hlas<vr>el<xa>a<va>
